catalog_page,motor_hp,gear_unit_size,model_type,output_rpm,output_torque_lb_in,service_factor_cat,total_ratio,worm_ratio,second_ratio,ohl_lb,ohl_flange_unit_lb,approx_weight_lb,config_page,dim_page
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,17,196,0.9,100.0,100.0,,405.0,232.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,21,177,1.1,80.0,80.0,,405.0,232.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,28,154,1.4,60.0,60.0,,405.0,232.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,34,140,1.6,50.0,50.0,,405.0,234.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,43,122,2.0,40.0,40.0,,405.0,234.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,57,100,2.6,30.0,30.0,,405.0,234.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,68,97,2.3,25.0,25.0,,405.0,234.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,85,81,2.9,20.0,20.0,,401.0,234.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,113,64,4.0,15.0,15.0,,367.0,234.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,136,60,3.6,12.5,12.5,,344.0,234.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,170,48,4.8,10.0,10.0,,322.0,225.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,227,37,6.4,7.5,7.5,,295.0,205.0,11.0,79,94
B46,0.16,SI31,SK 1SI31 - 56C - 63S/4,340,26,7.8,5.0,5.0,,259.0,180.0,11.0,79,94
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,0,1062,0.8,1800.0,30.0,60.0,720.0,353.0,16.0,81,116
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,0,1084,0.8,2400.0,30.0,80.0,720.0,351.0,16.0,81,116
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,0,1095,0.8,3000.0,30.0,100.0,720.0,349.0,16.0,81,116
B47,0.16,SI40,SK 1SI40/H10 - 56C - 63S/4,1,608,0.8,1000.0,100.0,10.0,720.0,396.0,15.0,81,114
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,1,996,0.8,900.0,30.0,30.0,720.0,362.0,16.0,81,116
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,1,1029,0.8,1200.0,30.0,40.0,720.0,358.0,16.0,81,116
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,1,1051,0.8,1500.0,30.0,50.0,720.0,356.0,16.0,81,116
B47,0.16,SI40,SK 1SI40/H10 - 56C - 63S/4,2,664,0.8,800.0,80.0,10.0,720.0,392.0,15.0,81,114
B47,0.16,SI40,SK 1SI40/H10 - 56C - 63S/4,2,730,0.8,600.0,60.0,10.0,720.0,387.0,15.0,81,114
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,2,962,0.8,600.0,30.0,20.0,720.0,365.0,16.0,81,116
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,2,974,0.8,750.0,30.0,25.0,720.0,365.0,16.0,81,116
B47,0.16,SI40,SK 1SI40/H10 - 56C - 63S/4,3,774,0.8,500.0,50.0,10.0,720.0,383.0,15.0,81,114
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,3,859,0.9,450.0,30.0,15.0,720.0,376.0,16.0,81,116
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,4,716,1.0,375.0,30.0,12.5,720.0,389.0,16.0,81,116
B47,0.16,SI40,SK 1SI40/H10 - 56C - 63S/4,4,830,0.8,400.0,40.0,10.0,720.0,378.0,15.0,81,114
B48,0.16,SI40,SK 1SI40/31 - 56C - 63S/4,5,662,1.1,300.0,30.0,10.0,720.0,392.0,16.0,81,116
B47,0.16,SI40,SK 1SI40/H10 - 56C - 63S/4,5,823,0.9,300.0,30.0,10.0,720.0,380.0,15.0,81,114
