catalog_page,category,part_numbers,c1,c2,c3,c4,c5,c6,raw_line
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392050;60391050,i=5 60392050 60391050,,,,,,i=5 60392050 60391050
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392080;60391080,i=7 .5 60392080 60391080,,,,,,i=7 .5 60392080 60391080
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392100;60391100,i=10 60392100 60391100,,,,,,i=10 60392100 60391100
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392130;60391130,i=12.5 60392130 60391130,,,,,,i=12.5 60392130 60391130
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392150;60391150,i=15 60392150 60391150,,,,,,i=15 60392150 60391150
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392200;60391200,i=20 60392200 60391200,,,,,,i=20 60392200 60391200
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392250;60391250,i=25 60392250 60391250,,,,,,i=25 60392250 60391250
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392300;60391300,i=30 60392300 60391300,,,,,,i=30 60392300 60391300
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392400;60391400,i=40 60392400 60391400,,,,,,i=40 60392400 60391400
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392500;60391500,i=50 60392500 60391500,,,,,,i=50 60392500 60391500
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392600;60391600,i=60 60392600 60391600,,,,,,i=60 60392600 60391600
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392800;60391800,i=80 60392800 60391800,,,,,,i=80 60392800 60391800
B79,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,60392000;60391000,i=100 60392000 60391000,,,,,,i=100 60392000 60391000
B79,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,31110012,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012",,,,,,"63S/4-56C 230/460V-60Hz, 1/6 hp 31110012"
B79,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,31610012,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012",,,,,,"63L/4-56C 230/460V-60Hz, 1/4 hp 31610012"
B79,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,32110012,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012",,,,,,"71S/4-56C 230/460V-60Hz, 1/3 hp 32110012"
B79,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,32610012,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012",,,,,,"71L/4-56C 230/460V-60Hz, 1/2 hp 32610012"
B79,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,33110012,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012",,,,,,"80S/4-56C 230/460V-60Hz, 3/4 hp 33110012"
B79,C-face 230/460V-60Hz Standard Efficiency Motor Part Number,33610022,"80L/4-56C 230/460V-60Hz, 1 hp 33610022",,,,,,"80L/4-56C 230/460V-60Hz, 1 hp 33610022"
B79,C-face 575V-60Hz Standard Efficiency Motor Part Number,31110013,"63S/4-56C 575V-60Hz, 1/6 hp 31110013",,,,,,"63S/4-56C 575V-60Hz, 1/6 hp 31110013"
B79,C-face 575V-60Hz Standard Efficiency Motor Part Number,31610013,"63L/4-56C 575V-60Hz, 1/4 hp 31610013",,,,,,"63L/4-56C 575V-60Hz, 1/4 hp 31610013"
B79,C-face 575V-60Hz Standard Efficiency Motor Part Number,32110013,"71S/4-56C 575V-60Hz, 1/3 hp 32110013",,,,,,"71S/4-56C 575V-60Hz, 1/3 hp 32110013"
B79,C-face 575V-60Hz Standard Efficiency Motor Part Number,32610013,"71L/4-56C 575V-60Hz, 1/2 hp 32610013",,,,,,"71L/4-56C 575V-60Hz, 1/2 hp 32610013"
B79,C-face 575V-60Hz Standard Efficiency Motor Part Number,33110013,"80S/4-56C 575V-60Hz, 3/4 hp 33110013",,,,,,"80S/4-56C 575V-60Hz, 3/4 hp 33110013"
B79,C-face 230/460V-60Hz Energy Efficient Motor Part Number,33610094,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094",,,,,,"80LH/4-56C 230/460V-60Hz, 1 hp 33610094"
B79,C-face 575V-60Hz Energy Efficient Motor Part Number,33610095,"80LH/4-56C 575V-60Hz, 1 hp 33610095",,,,,,"80LH/4-56C 575V-60Hz, 1 hp 33610095"
B79,C-face 230/460V-60Hz Premium Efficient Motor Part Number,33610294,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294",,,,,,"80LP/4-56C 230/460V-60Hz, 1 hp 33610294"
B79,C-face 575V-60Hz Premium Efficient Motor Part Number,33610295,"80LP/4-56C 575V-60Hz, 1 hp 33610295",,,,,,"80LP/4-56C 575V-60Hz, 1 hp 33610295"
B79,NEMA and IEC Adapter  94 & 118 Part Number,60395500,NEMA 48C 60395500,,,,,,NEMA 48C 60395500
B79,NEMA and IEC Adapter  94 & 118 Part Number,60395510,NEMA 56C 60395510,,,,,,NEMA 56C 60395510
B79,NEMA and IEC Adapter  94 & 118 Part Number,60395100,IEC 56 B14 C105 60395100,,,,,,IEC 56 B14 C105 60395100
B79,NEMA and IEC Adapter  94 & 118 Part Number,60395200,IEC 56 B5 A120 60395200,,,,,,IEC 56 B5 A120 60395200
B79,NEMA and IEC Adapter  94 & 118 Part Number,60395010,IEC 63 B14 C90 60395010,,,,,,IEC 63 B14 C90 60395010
B79,NEMA and IEC Adapter  94 & 118 Part Number,60395110,IEC 63 B14 C120 60395110,,,,,,IEC 63 B14 C120 60395110
B79,NEMA and IEC Adapter  94 & 118 Part Number,60395210,IEC 63 B5 A140 60395210,,,,,,IEC 63 B5 A140 60395210
B79,NEMA and IEC Adapter  94 & 118 Part Number,60395020,IEC 71 B14 C105 60395020,,,,,,IEC 71 B14 C105 60395020
