vendor,product_line,component_type,variant,adapter_interface,adapter_code,motor_frame,motor_poles,motor_voltage,motor_efficiency,motor_hp,shaft_key,gear_unit_key,ratio,nord_part_number,description,catalog_page,source_line
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i5p0,5.0,60392050,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=5 60392050 60391050
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i5p0,5.0,60391050,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=5 60392050 60391050
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i7p0,7.0,60392080,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=7 .5 60392080 60391080
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i7p0,7.0,60391080,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=7 .5 60392080 60391080
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i10p0,10.0,60392100,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=10 60392100 60391100
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i10p0,10.0,60391100,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=10 60392100 60391100
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i12p5,12.5,60392130,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=12.5 60392130 60391130
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i12p5,12.5,60391130,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=12.5 60392130 60391130
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i15p0,15.0,60392150,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=15 60392150 60391150
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i15p0,15.0,60391150,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=15 60392150 60391150
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i20p0,20.0,60392200,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=20 60392200 60391200
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i20p0,20.0,60391200,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=20 60392200 60391200
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i25p0,25.0,60392250,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=25 60392250 60391250
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i25p0,25.0,60391250,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=25 60392250 60391250
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i30p0,30.0,60392300,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=30 60392300 60391300
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i30p0,30.0,60391300,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=30 60392300 60391300
NORD,FLEXBLOC,gear_unit,ANY,,,,,,,,,worm_0p625in_14mm_i40p0,40.0,60392400,Wormgearbox 0.625 Hollow Shaft 14 mm Hollow Shaft,B79,i=40 60392400 60391400
