vendor,product_line,component_type,gear_unit_size,total_ratio,worm_ratio,second_ratio,adapter_interface,brake,mounting_variant,nord_part_number,description,catalog_page,source_line
NORD,FLEXBLOC,gear_unit,SI31,5,5,,ANY,false,inch_hollow,60392050,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 5,B79,i=5 60392050 60391050
NORD,FLEXBLOC,gear_unit,SI31,5,5,,ANY,false,metric_hollow,60391050,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 5,B79,i=5 60392050 60391050
NORD,FLEXBLOC,gear_unit,SI31,7.5,7.5,,ANY,false,inch_hollow,60392080,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 7.5,B79,i=7.5 60392080 60391080
NORD,FLEXBLOC,gear_unit,SI31,7.5,7.5,,ANY,false,metric_hollow,60391080,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 7.5,B79,i=7.5 60392080 60391080
NORD,FLEXBLOC,gear_unit,SI31,10,10,,ANY,false,inch_hollow,60392100,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 10,B79,i=10 60392100 60391100
NORD,FLEXBLOC,gear_unit,SI31,10,10,,ANY,false,metric_hollow,60391100,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 10,B79,i=10 60392100 60391100
NORD,FLEXBLOC,gear_unit,SI31,12.5,12.5,,ANY,false,inch_hollow,60392130,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 12.5,B79,i=12.5 60392130 60391130
NORD,FLEXBLOC,gear_unit,SI31,12.5,12.5,,ANY,false,metric_hollow,60391130,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 12.5,B79,i=12.5 60392130 60391130
NORD,FLEXBLOC,gear_unit,SI31,15,15,,ANY,false,inch_hollow,60392150,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 15,B79,i=15 60392150 60391150
NORD,FLEXBLOC,gear_unit,SI31,15,15,,ANY,false,metric_hollow,60391150,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 15,B79,i=15 60392150 60391150
NORD,FLEXBLOC,gear_unit,SI31,20,20,,ANY,false,inch_hollow,60392200,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 20,B79,i=20 60392200 60391200
NORD,FLEXBLOC,gear_unit,SI31,20,20,,ANY,false,metric_hollow,60391200,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 20,B79,i=20 60392200 60391200
NORD,FLEXBLOC,gear_unit,SI31,25,25,,ANY,false,inch_hollow,60392250,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 25,B79,i=25 60392250 60391250
NORD,FLEXBLOC,gear_unit,SI31,25,25,,ANY,false,metric_hollow,60391250,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 25,B79,i=25 60392250 60391250
NORD,FLEXBLOC,gear_unit,SI31,30,30,,ANY,false,inch_hollow,60392300,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 30,B79,i=30 60392300 60391300
NORD,FLEXBLOC,gear_unit,SI31,30,30,,ANY,false,metric_hollow,60391300,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 30,B79,i=30 60392300 60391300
NORD,FLEXBLOC,gear_unit,SI31,40,40,,ANY,false,inch_hollow,60392400,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 40,B79,i=40 60392400 60391400
NORD,FLEXBLOC,gear_unit,SI31,40,40,,ANY,false,metric_hollow,60391400,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 40,B79,i=40 60392400 60391400
NORD,FLEXBLOC,gear_unit,SI31,50,50,,ANY,false,inch_hollow,60392500,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 50,B79,i=50 60392500 60391500
NORD,FLEXBLOC,gear_unit,SI31,50,50,,ANY,false,metric_hollow,60391500,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 50,B79,i=50 60392500 60391500
NORD,FLEXBLOC,gear_unit,SI31,60,60,,ANY,false,inch_hollow,60392600,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 60,B79,i=60 60392600 60391600
NORD,FLEXBLOC,gear_unit,SI31,60,60,,ANY,false,metric_hollow,60391600,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 60,B79,i=60 60392600 60391600
NORD,FLEXBLOC,gear_unit,SI31,80,80,,ANY,false,inch_hollow,60392800,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 80,B79,i=80 60392800 60391800
NORD,FLEXBLOC,gear_unit,SI31,80,80,,ANY,false,metric_hollow,60391800,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 80,B79,i=80 60392800 60391800
NORD,FLEXBLOC,gear_unit,SI31,100,100,,ANY,false,inch_hollow,60392000,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 100,B79,i=100 60392000 60391000
NORD,FLEXBLOC,gear_unit,SI31,100,100,,ANY,false,metric_hollow,60391000,Wormgearbox 0.625 Hollow Shaft 14mm - Ratio 100,B79,i=100 60392000 60391000
NORD,FLEXBLOC,gear_unit,SI40,5,5,,ANY,false,inch_hollow,60492050,Gearbox 1.000 Hollow Shaft 18mm - Ratio 5,B81,i=5 60492050 60491050
NORD,FLEXBLOC,gear_unit,SI40,5,5,,ANY,false,metric_hollow,60491050,Gearbox 1.000 Hollow Shaft 18mm - Ratio 5,B81,i=5 60492050 60491050
NORD,FLEXBLOC,gear_unit,SI40,7.5,7.5,,ANY,false,inch_hollow,60492080,Gearbox 1.000 Hollow Shaft 18mm - Ratio 7.5,B81,i=7.5 60492080 60491080
NORD,FLEXBLOC,gear_unit,SI40,7.5,7.5,,ANY,false,metric_hollow,60491080,Gearbox 1.000 Hollow Shaft 18mm - Ratio 7.5,B81,i=7.5 60492080 60491080
NORD,FLEXBLOC,gear_unit,SI40,10,10,,ANY,false,inch_hollow,60492100,Gearbox 1.000 Hollow Shaft 18mm - Ratio 10,B81,i=10 60492100 60491100
NORD,FLEXBLOC,gear_unit,SI40,10,10,,ANY,false,metric_hollow,60491100,Gearbox 1.000 Hollow Shaft 18mm - Ratio 10,B81,i=10 60492100 60491100
NORD,FLEXBLOC,gear_unit,SI40,12.5,12.5,,ANY,false,inch_hollow,60492130,Gearbox 1.000 Hollow Shaft 18mm - Ratio 12.5,B81,i=12.5 60492130 60491130
NORD,FLEXBLOC,gear_unit,SI40,12.5,12.5,,ANY,false,metric_hollow,60491130,Gearbox 1.000 Hollow Shaft 18mm - Ratio 12.5,B81,i=12.5 60492130 60491130
NORD,FLEXBLOC,gear_unit,SI40,15,15,,ANY,false,inch_hollow,60492150,Gearbox 1.000 Hollow Shaft 18mm - Ratio 15,B81,i=15 60492150 60491150
NORD,FLEXBLOC,gear_unit,SI40,15,15,,ANY,false,metric_hollow,60491150,Gearbox 1.000 Hollow Shaft 18mm - Ratio 15,B81,i=15 60492150 60491150
NORD,FLEXBLOC,gear_unit,SI40,20,20,,ANY,false,inch_hollow,60492200,Gearbox 1.000 Hollow Shaft 18mm - Ratio 20,B81,i=20 60492200 60491200
